City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
11,Cayenne,GF,84.09,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
12,Kavieng,PG,82.58,broken clouds,-2.5744,150.7967,Nusa Island Retreat
13,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
17,Hilo,US,85.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
19,Vaini,TO,73.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
23,Porto Novo,BJ,82.22,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
24,Saint-Francois,FR,78.24,clear sky,46.4154,3.9054,Manoir Du Bonheur
25,Colinas,BR,86.63,scattered clouds,-6.0258,-44.2492,Pousada do Nonatinho
28,Avarua,CK,78.57,light rain,-21.2078,-159.775,Paradise Inn
29,Mao,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
31,Henderson,US,87.84,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
32,San Rafael,AR,72.81,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
37,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
40,Rikitea,PF,75.92,light rain,-23.1203,-134.9692,People ThankYou
41,Kapaa,US,78.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
43,Sola,VU,80.8,few clouds,-13.8833,167.55,Leumerus Bungalows
44,Sabha,LY,82.13,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
47,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
49,Narasannapeta,IN,84.7,scattered clouds,18.4167,84.05,AVK events and catering
52,Acarau,BR,82.89,broken clouds,-2.8856,-40.12,castelo pizzaria
55,Namibe,AO,70.02,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
57,Saint-Joseph,RE,70.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
58,Ixtapa,MX,79.83,clear sky,20.7,-105.2,hotel la terminal
60,Dhidhdhoo,MV,83.7,scattered clouds,6.8833,73.1,Dhidhoo beach
