City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lodja,CD,-3.4833,23.4333,75.56,74,87,0.36,overcast clouds
1,Salalah,OM,17.0151,54.0924,84.29,84,75,9.22,broken clouds
2,Punta Arenas,CL,-53.15,-70.9167,39.31,70,40,9.22,scattered clouds
3,Hermanus,ZA,-34.4187,19.2345,60.53,86,37,8.28,scattered clouds
4,Port Alfred,ZA,-33.5906,26.891,56.17,93,33,3.13,scattered clouds
5,Sobolevo,RU,54.4299,31.8996,44.96,73,61,6.35,broken clouds
6,New Norfolk,AU,-42.7826,147.0587,49.91,82,94,2.51,overcast clouds
7,Albany,US,42.6001,-73.9662,91.44,48,61,1.01,broken clouds
8,Hamilton,US,39.1834,-84.5333,67.19,75,100,12.66,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,44.26,92,100,7.23,overcast clouds
10,Mar Del Plata,AR,-38.0023,-57.5575,62.94,54,0,5.75,clear sky
11,Cayenne,GF,4.9333,-52.3333,84.09,8,100,4.61,moderate rain
12,Kavieng,PG,-2.5744,150.7967,82.58,68,57,16.82,broken clouds
13,Bathsheba,BB,13.2167,-59.5167,84.81,70,20,18.41,few clouds
14,Lesnoy,RU,57.6198,63.0784,37.2,84,36,4.94,scattered clouds
15,Zhezkazgan,KZ,47.8043,67.7144,51.96,30,4,7.99,clear sky
16,Shelburne,CA,44.0787,-80.2041,55.76,82,100,11.45,overcast clouds
17,Hilo,US,19.7297,-155.09,85.28,72,0,5.01,clear sky
18,Kano,NG,12.0001,8.5167,93.09,40,44,3.44,scattered clouds
19,Vaini,TO,-21.2,-175.2,73.56,94,75,3.44,broken clouds
20,Helsinki,FI,60.1695,24.9355,52.38,46,0,5.75,clear sky
21,Mandalgovi,MN,45.7625,106.2708,57.67,33,34,8.37,scattered clouds
22,Talnakh,RU,69.4865,88.3972,33.21,100,100,2.28,overcast clouds
23,Porto Novo,BJ,6.4965,2.6036,82.22,85,97,6.82,light rain
24,Saint-Francois,FR,46.4154,3.9054,78.24,65,0,6.91,clear sky
25,Colinas,BR,-6.0258,-44.2492,86.63,55,44,3.74,scattered clouds
26,Hammerfest,NO,70.6634,23.6821,48.65,66,75,4.61,broken clouds
27,Ushuaia,AR,-54.8,-68.3,40.62,81,20,2.3,few clouds
28,Avarua,CK,-21.2078,-159.775,78.57,79,33,13.85,light rain
29,Mao,ES,39.8885,4.2658,75.76,64,0,9.22,clear sky
30,Mongu,ZM,-15.2484,23.1274,58.98,28,51,5.93,broken clouds
31,Henderson,US,36.0397,-114.9819,87.84,13,0,5.75,clear sky
32,San Rafael,AR,-34.6177,-68.3301,72.81,15,85,10.42,overcast clouds
33,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,81,75,14.97,broken clouds
34,Camana,PE,-16.6228,-72.7111,69.46,73,68,11.45,broken clouds
35,Flin Flon,CA,54.7682,-101.865,64.24,19,75,14.97,broken clouds
36,Tasiilaq,GL,65.6145,-37.6368,35.76,95,100,8.93,overcast clouds
37,Puerto Escondido,MX,15.85,-97.0667,86.83,70,40,9.22,scattered clouds
38,Bredasdorp,ZA,-34.5322,20.0403,56.7,88,42,5.61,scattered clouds
39,Chapais,CA,49.7834,-74.8492,33.58,86,100,2.24,light snow
40,Rikitea,PF,-23.1203,-134.9692,75.92,76,3,13.38,light rain
41,Kapaa,US,22.0752,-159.319,78.78,84,20,10.36,few clouds
42,Sorland,NO,67.667,12.6934,48.06,93,100,8.01,overcast clouds
43,Sola,VU,-13.8833,167.55,80.8,76,20,2.57,few clouds
44,Sabha,LY,27.0377,14.4283,82.13,9,0,8.19,clear sky
45,Busselton,AU,-33.65,115.3333,61.23,70,93,25.7,light rain
46,Taoudenni,ML,22.6783,-3.9836,102.38,7,0,14.7,clear sky
47,Nhulunbuy,AU,-12.2333,136.7667,77.61,83,75,19.57,broken clouds
48,Cape Town,ZA,-33.9258,18.4232,60.12,83,0,5.75,clear sky
49,Narasannapeta,IN,18.4167,84.05,84.7,73,36,3.22,scattered clouds
50,Ilulissat,GL,69.2167,-51.1,35.62,93,75,5.75,light rain and snow
51,Thompson,CA,55.7435,-97.8558,60.96,29,75,6.91,broken clouds
52,Acarau,BR,-2.8856,-40.12,82.89,75,51,7.23,broken clouds
53,Geraldton,AU,-28.7667,114.6,64.81,72,40,13.8,scattered clouds
54,Kerman,IR,30.2832,57.0788,69.66,17,0,9.22,clear sky
55,Namibe,AO,-15.1961,12.1522,70.02,71,0,4.43,clear sky
56,Constitucion,CL,-35.3333,-72.4167,55.18,78,100,8.3,overcast clouds
57,Saint-Joseph,RE,-21.3667,55.6167,70.18,77,42,11.77,scattered clouds
58,Ixtapa,MX,20.7,-105.2,79.83,69,0,9.22,clear sky
59,Dongtai,CN,32.8523,120.3095,63.12,64,100,7.18,overcast clouds
60,Dhidhdhoo,MV,6.8833,73.1,83.7,78,47,15.12,scattered clouds
61,Waingapu,ID,-9.6567,120.2641,77.02,85,89,8.52,overcast clouds
62,Yakuplu,TR,40.9889,28.6758,67.35,64,40,5.75,scattered clouds
63,Cherskiy,RU,68.75,161.3,48.31,57,80,9.66,broken clouds
64,Norman Wells,CA,65.282,-126.8329,42.84,52,75,3.44,broken clouds
65,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,66,0,6.91,clear sky
66,Bluff,NZ,-46.6,168.3333,49.86,72,93,22.62,overcast clouds
67,Moyobamba,PE,-6.05,-76.9667,82.92,51,41,3.33,scattered clouds
68,Wodonga,AU,-36.1167,146.8833,45.97,100,0,4.05,clear sky
69,Flinders,AU,-34.5833,150.8552,55.18,91,99,3.0,light rain
70,Sanming,CN,26.2486,117.6186,67.89,99,100,0.6,overcast clouds
71,Tocopilla,CL,-22.092,-70.1979,70.2,62,11,10.51,few clouds
72,Dikson,RU,73.5069,80.5464,25.11,90,100,9.75,overcast clouds
73,Aitape,PG,-3.1374,142.3475,78.4,84,67,5.03,broken clouds
74,Bambous Virieux,MU,-20.3428,57.7575,75.45,69,20,11.5,few clouds
75,Sungaipenuh,ID,-2.0833,101.3833,64.02,96,53,1.81,broken clouds
76,Pandan,PH,14.0453,124.1694,79.2,87,99,7.31,overcast clouds
77,Ocara,BR,-4.4908,-38.5967,81.43,78,52,6.02,broken clouds
78,Pisco,PE,-13.7,-76.2167,67.01,77,20,10.36,mist
79,Caravelas,BR,-17.7125,-39.2481,75.49,64,23,7.76,few clouds
80,Vidim,RU,56.4088,103.1106,40.35,97,66,4.54,broken clouds
81,Ambilobe,MG,-13.2,49.05,74.52,72,62,5.06,broken clouds
82,Qaanaaq,GL,77.484,-69.3632,25.29,75,100,2.93,overcast clouds
83,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,90,100,4.7,light rain
84,Sambava,MG,-14.2667,50.1667,74.75,83,72,12.01,broken clouds
85,Puerto Ayora,EC,-0.7393,-90.3518,78.76,76,41,10.96,scattered clouds
86,Clyde River,CA,70.4692,-68.5914,19.63,93,100,34.52,heavy snow
87,Oyama,JP,36.3,139.8,65.59,89,97,3.44,overcast clouds
88,Garowe,SO,8.4054,48.4845,89.67,33,97,19.08,overcast clouds
89,Beringovskiy,RU,63.05,179.3167,38.93,79,100,8.14,overcast clouds
90,Andenes,NO,69.3143,16.1194,46.38,93,100,3.44,overcast clouds
91,Surat,IN,21.1667,72.8333,85.98,79,40,17.27,scattered clouds
92,Fort Nelson,CA,58.8053,-122.7002,51.39,62,75,5.75,broken clouds
93,Port Lincoln,AU,-34.7333,135.8667,61.68,78,94,10.58,overcast clouds
94,Yellowknife,CA,62.456,-114.3525,36.12,80,100,6.91,light snow
95,Severo-Kurilsk,RU,50.6789,156.125,40.84,96,98,15.73,overcast clouds
96,Jamestown,US,42.097,-79.2353,56.84,94,100,14.97,overcast clouds
97,Baffa,PK,34.4378,73.2194,69.42,38,54,7.16,broken clouds
98,Nikolskoye,RU,59.7035,30.7861,51.69,54,1,2.21,clear sky
99,Karratha,AU,-20.7377,116.8463,77.88,74,100,5.82,overcast clouds
